description,projected_hours,milestone,assignee,start_planned,stop_planned,start_real,stop_real
Read Predecessor Documentation,10,1,0,2017-03-01,2017-03-08,2017-03-01,2017-03-10
Introductory Tutorials for IIR Filters,16,1,0,2017-03-01,2017-03-08,2017-03-01,2017-03-02
Assess Results of Predecessor Project,10,1,0,2017-03-06,2017-03-15,2017-03-08,2017-03-15
Research Red Pitaya Toolchain,20,1,0,2017-03-09,2017-03-22,2017-03-08,2017-03-29
Develop Sane Toolchain for FPGA,30,1,0,2017-03-15,2017-03-22,2017-03-10,2017-03-29
Clean Linux Build for Pitaya,30,1,0,2017-03-29,2017-04-12,2017-03-29,2017-08-18
Test Kernel Module for Data Acquisition,10,1,0,2017-04-03,2017-04-12,2017-04-03,2017-08-18
Test Data Acquisition IP,10,1,0,2017-04-12,2017-04-19,2017-04-12,2017-08-18
"Document Toolchain (Linux, K.Mod.,IP)",30,1,0,2017-04-12,2017-04-19,2017-04-12,2017-08-18
Research CIC Filter Theory,20,1,0,2017-03-15,2017-04-14,2017-03-15,2017-08-18
Determine CIC Specifications,6,1,0,2017-04-14,2017-04-17,2017-04-14,2017-08-18
Generate CIC Model in Matlab,24,1,0,2017-04-17,2017-04-19,2017-04-17,2017-08-18
Implement CIC Filter on FPGA,50,1,0,2017-04-19,2017-05-03,2017-04-19,2017-08-18
Verify CIC Filter on FPGA,50,1,0,2017-05-03,2017-05-17,2017-05-03,2017-08-18
Document Filter Design and Implementation,40,1,0,2017-04-14,2017-05-19,2017-04-14,2017-08-18
Determine Scope Back-end Specifications,5,1,0,2017-05-09,2017-05-11,2017-05-09,2017-08-18
Determine Scope Front-end Specifications,5,1,0,2017-05-09,2017-05-11,2017-05-09,2017-08-18
Implement Scope (tasks still TBD),210,1,0,2017-05-11,2017-07-31,2017-05-11,2017-08-18
Document Scope,40,1,0,2017-05-11,2017-08-05,2017-05-11,2017-08-18
Finish Documentation,50,1,0,2017-08-01,2017-08-15,2017-08-01,2017-08-18
PM,60,1,0,2017-03-01,2017-08-18,2017-03-01,2017-08-18
